,filename,dataDate,dataTime,P1,yearOfCentury,month,day,hour,minute,numberOfCodedValues,validDate,analDate
0,HIRLAM_200312230000+003H00M,20031223,0,3,3,12,23,0,0,93636,validDateKeyError,analDateKeyError
1,HIRLAM_C11_201302241800+000H00M,20130224,1800,0,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
2,HIRLAM_C11_201302241800+001H00M,20130224,1800,1,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
3,HIRLAM_C11_201302241800+002H00M,20130224,1800,2,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
4,HIRLAM_C11_201302241800+003H00M,20130224,1800,3,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
5,HIRLAM_C11_201302241800+004H00M,20130224,1800,4,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
6,HIRLAM_C11_201302241800+005H00M,20130224,1800,5,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
7,HIRLAM_C11_201302241800+006H00M,20130224,1800,6,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
8,HIRLAM_C11_201302241800+007H00M,20130224,1800,7,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
9,HIRLAM_C11_201302241800+008H00M,20130224,1800,8,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
10,HIRLAM_C11_201302241800+009H00M,20130224,1800,9,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
11,HIRLAM_C11_201302241800+010H00M,20130224,1800,10,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
12,HIRLAM_C11_201302241800+011H00M,20130224,1800,11,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
13,HIRLAM_C11_201302241800+012H00M,20130224,1800,12,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
14,HIRLAM_C11_201302241800+013H00M,20130224,1800,13,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
15,HIRLAM_C11_201302241800+014H00M,20130224,1800,14,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
16,HIRLAM_C11_201302241800+015H00M,20130224,1800,15,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
17,HIRLAM_C11_201302241800+016H00M,20130224,1800,16,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
18,HIRLAM_C11_201302241800+017H00M,20130224,1800,17,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
19,HIRLAM_C11_201302241800+018H00M,20130224,1800,18,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
20,HIRLAM_C11_201302241800+019H00M,20130224,1800,19,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
21,HIRLAM_C11_201302241800+020H00M,20130224,1800,20,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
22,HIRLAM_C11_201302241800+021H00M,20130224,1800,21,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
23,HIRLAM_C11_201302241800+022H00M,20130224,1800,22,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
24,HIRLAM_C11_201302241800+023H00M,20130224,1800,23,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
25,HIRLAM_C11_201302241800+024H00M,20130224,1800,24,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
26,HIRLAM_C11_201302241800+025H00M,20130224,1800,25,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
27,HIRLAM_C11_201302241800+026H00M,20130224,1800,26,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
28,HIRLAM_C11_201302241800+027H00M,20130224,1800,27,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
29,HIRLAM_C11_201302241800+028H00M,20130224,1800,28,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
30,HIRLAM_C11_201302241800+029H00M,20130224,1800,29,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
31,HIRLAM_C11_201302241800+030H00M,20130224,1800,30,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
32,HIRLAM_C11_201302241800+031H00M,20130224,1800,31,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
33,HIRLAM_C11_201302241800+032H00M,20130224,1800,32,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
34,HIRLAM_C11_201302241800+033H00M,20130224,1800,33,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
35,HIRLAM_C11_201302241800+034H00M,20130224,1800,34,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
36,HIRLAM_C11_201302241800+035H00M,20130224,1800,35,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
37,HIRLAM_C11_201302241800+036H00M,20130224,1800,36,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
38,HIRLAM_C11_201302241800+037H00M,20130224,1800,37,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
39,HIRLAM_C11_201302241800+038H00M,20130224,1800,38,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
40,HIRLAM_C11_201302241800+039H00M,20130224,1800,39,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
41,HIRLAM_C11_201302241800+040H00M,20130224,1800,40,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
42,HIRLAM_C11_201302241800+041H00M,20130224,1800,41,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
43,HIRLAM_C11_201302241800+042H00M,20130224,1800,42,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
44,HIRLAM_C11_201302241800+043H00M,20130224,1800,43,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
45,HIRLAM_C11_201302241800+044H0001M,20130224,1800,44,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
46,HIRLAM_C11_201302241800+044H00M,20130224,1800,44,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
47,HIRLAM_C11_201302241800+045H00M,20130224,1800,45,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
48,HIRLAM_C11_201302241800+046H00M,20130224,1800,46,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
49,HIRLAM_C11_201302241800+047H00M,20130224,1800,47,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
50,HIRLAM_C11_201302241800+048H00M,20130224,1800,48,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
51,HIRLAM_C11_201302241800+049H00M,20130224,1800,49,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
52,HIRLAM_C11_201302241800+050H00M,20130224,1800,50,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
53,HIRLAM_C11_201302241800+051H00M,20130224,1800,51,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
54,HIRLAM_C11_201302241800+052H00M,20130224,1800,52,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
55,HIRLAM_C11_201302241800+053H00M,20130224,1800,53,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
56,HIRLAM_C11_201302241800+054H00M,20130224,1800,54,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
57,HIRLAM_C11_201302241800+055H00M,20130224,1800,55,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
58,HIRLAM_C11_201302241800+056H00M,20130224,1800,56,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
59,HIRLAM_C11_201302241800+057H00M,20130224,1800,57,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
60,HIRLAM_C11_201302241800+058H00M,20130224,1800,58,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
61,HIRLAM_C11_201302241800+059H00M,20130224,1800,59,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
62,HIRLAM_C11_201302241800+060H00M,20130224,1800,60,13,2,24,18,0,367236,validDateKeyError,analDateKeyError
63,HIRLAM_C11_201302250000+000H00M,20130225,0,0,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
64,HIRLAM_C11_201302250000+001H00M,20130225,0,1,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
65,HIRLAM_C11_201302250000+002H00M,20130225,0,2,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
66,HIRLAM_C11_201302250000+003H00M,20130225,0,3,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
67,HIRLAM_C11_201302250000+004H00M,20130225,0,4,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
68,HIRLAM_C11_201302250000+005H00M,20130225,0,5,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
69,HIRLAM_C11_201302250000+006H00M,20130225,0,6,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
70,HIRLAM_C11_201302250000+007H00M,20130225,0,7,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
71,HIRLAM_C11_201302250000+008H00M,20130225,0,8,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
72,HIRLAM_C11_201302250000+010H00M,20130225,0,10,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
73,HIRLAM_C11_201302250000+011H00M,20130225,0,11,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
74,HIRLAM_C11_201302250000+012H00M,20130225,0,12,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
75,HIRLAM_C11_201302250000+013H00M,20130225,0,13,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
76,HIRLAM_C11_201302250000+014H00M,20130225,0,14,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
77,HIRLAM_C11_201302250000+015H00M,20130225,0,15,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
78,HIRLAM_C11_201302250000+016H00M,20130225,0,16,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
79,HIRLAM_C11_201302250000+017H00M,20130225,0,17,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
80,HIRLAM_C11_201302250000+018H00M,20130225,0,18,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
81,HIRLAM_C11_201302250000+019H00M,20130225,0,19,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
82,HIRLAM_C11_201302250000+020H00M,20130225,0,20,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
83,HIRLAM_C11_201302250000+021H00M,20130225,0,21,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
84,HIRLAM_C11_201302250000+022H00M,20130225,0,22,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
85,HIRLAM_C11_201302250000+023H00M,20130225,0,23,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
86,HIRLAM_C11_201302250000+024H00M,20130225,0,24,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
87,HIRLAM_C11_201302250000+025H00M,20130225,0,25,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
88,HIRLAM_C11_201302250000+026H00M,20130225,0,26,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
89,HIRLAM_C11_201302250000+027H00M,20130225,0,27,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
90,HIRLAM_C11_201302250000+028H00M,20130225,0,28,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
91,HIRLAM_C11_201302250000+029H00M,20130225,0,29,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
92,HIRLAM_C11_201302250000+030H00M,20130225,0,30,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
93,HIRLAM_C11_201302250000+031H00M,20130225,0,31,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
94,HIRLAM_C11_201302250000+032H00M,20130225,0,32,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
95,HIRLAM_C11_201302250000+033H00M,20130225,0,33,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
96,HIRLAM_C11_201302250000+034H00M,20130225,0,34,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
97,HIRLAM_C11_201302250000+035H00M,20130225,0,35,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
98,HIRLAM_C11_201302250000+036H00M,20130225,0,36,13,2,25,0,0,367236,validDateKeyError,analDateKeyError
